origine,destination,delta_days,proba_open
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,0,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,1,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,2,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,3,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,4,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,5,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,6,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,7,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,8,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,9,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,10,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,11,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,12,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,13,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,14,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,15,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,16,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,17,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,18,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,19,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,20,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,21,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,22,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,23,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,24,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,25,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,26,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,27,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,28,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,29,0.0
AGDE,LE CREUSOT MONTCEAU MONTCHANIN,30,0.0
AGDE,LYON (intramuros),0,0.0125
AGDE,LYON (intramuros),1,0.0
AGDE,LYON (intramuros),2,0.0
AGDE,LYON (intramuros),3,0.0125
AGDE,LYON (intramuros),4,0.0
AGDE,LYON (intramuros),5,0.0
AGDE,LYON (intramuros),6,0.0
AGDE,LYON (intramuros),7,0.0
AGDE,LYON (intramuros),8,0.0
AGDE,LYON (intramuros),9,0.0
AGDE,LYON (intramuros),10,0.0
AGDE,LYON (intramuros),11,0.0
AGDE,LYON (intramuros),12,0.0
AGDE,LYON (intramuros),13,0.0
AGDE,LYON (intramuros),14,0.0
AGDE,LYON (intramuros),15,0.0
AGDE,LYON (intramuros),16,0.0
AGDE,LYON (intramuros),17,0.0
AGDE,LYON (intramuros),18,0.0
AGDE,LYON (intramuros),19,0.0
AGDE,LYON (intramuros),20,0.0
AGDE,LYON (intramuros),21,0.0
AGDE,LYON (intramuros),22,0.0
AGDE,LYON (intramuros),23,0.0
AGDE,LYON (intramuros),24,0.0
AGDE,LYON (intramuros),25,0.0
AGDE,LYON (intramuros),26,0.0
AGDE,LYON (intramuros),27,0.0
AGDE,LYON (intramuros),28,0.0
AGDE,LYON (intramuros),29,0.0
AGDE,LYON (intramuros),30,0.0
AGDE,MONTPELLIER SAINT ROCH,0,0.8866666666666666
AGDE,MONTPELLIER SAINT ROCH,1,0.8747058823529412
AGDE,MONTPELLIER SAINT ROCH,2,0.8666666666666667
AGDE,MONTPELLIER SAINT ROCH,3,0.8623529411764707
AGDE,MONTPELLIER SAINT ROCH,4,0.7137254901960784
AGDE,MONTPELLIER SAINT ROCH,5,0.6923529411764706
AGDE,MONTPELLIER SAINT ROCH,6,0.6699999999999999
AGDE,MONTPELLIER SAINT ROCH,7,0.6151574803149606
AGDE,MONTPELLIER SAINT ROCH,8,0.6092885375494071
AGDE,MONTPELLIER SAINT ROCH,9,0.5878968253968254
AGDE,MONTPELLIER SAINT ROCH,10,0.5567729083665338
AGDE,MONTPELLIER SAINT ROCH,11,0.5434262948207171
AGDE,MONTPELLIER SAINT ROCH,12,0.2653386454183267
AGDE,MONTPELLIER SAINT ROCH,13,0.2502
AGDE,MONTPELLIER SAINT ROCH,14,0.23373493975903614
AGDE,MONTPELLIER SAINT ROCH,15,0.22641129032258064
AGDE,MONTPELLIER SAINT ROCH,16,0.22782258064516128
AGDE,MONTPELLIER SAINT ROCH,17,0.22874493927125505
AGDE,MONTPELLIER SAINT ROCH,18,0.2180161943319838
AGDE,MONTPELLIER SAINT ROCH,19,0.1975609756097561
AGDE,MONTPELLIER SAINT ROCH,20,0.19979591836734695
AGDE,MONTPELLIER SAINT ROCH,21,0.2
AGDE,MONTPELLIER SAINT ROCH,22,0.19200819672131147
AGDE,MONTPELLIER SAINT ROCH,23,0.1889344262295082
AGDE,MONTPELLIER SAINT ROCH,24,0.18086419753086422
AGDE,MONTPELLIER SAINT ROCH,25,0.1799586776859504
AGDE,MONTPELLIER SAINT ROCH,26,0.17697095435684645
AGDE,MONTPELLIER SAINT ROCH,27,0.17365145228215767
AGDE,MONTPELLIER SAINT ROCH,28,0.15518672199170125
AGDE,MONTPELLIER SAINT ROCH,29,0.13874999999999998
AGDE,MONTPELLIER SAINT ROCH,30,0.027083333333333334
AGDE,MONTPELLIER SUD DE FRANCE,0,0.8627615062761506
AGDE,MONTPELLIER SUD DE FRANCE,1,0.82875
AGDE,MONTPELLIER SUD DE FRANCE,2,0.8118257261410788
AGDE,MONTPELLIER SUD DE FRANCE,3,0.8143153526970954
AGDE,MONTPELLIER SUD DE FRANCE,4,0.5363070539419087
AGDE,MONTPELLIER SUD DE FRANCE,5,0.49419087136929457
AGDE,MONTPELLIER SUD DE FRANCE,6,0.4504149377593361
AGDE,MONTPELLIER SUD DE FRANCE,7,0.42800829875518676
AGDE,MONTPELLIER SUD DE FRANCE,8,0.42863070539419085
AGDE,MONTPELLIER SUD DE FRANCE,9,0.41446280991735535
AGDE,MONTPELLIER SUD DE FRANCE,10,0.40681818181818186
AGDE,MONTPELLIER SUD DE FRANCE,11,0.39938016528925624
AGDE,MONTPELLIER SUD DE FRANCE,12,0.1338174273858921
AGDE,MONTPELLIER SUD DE FRANCE,13,0.1325
AGDE,MONTPELLIER SUD DE FRANCE,14,0.13556485355648534
AGDE,MONTPELLIER SUD DE FRANCE,15,0.13214285714285715
AGDE,MONTPELLIER SUD DE FRANCE,16,0.1369747899159664
AGDE,MONTPELLIER SUD DE FRANCE,17,0.12941176470588237
AGDE,MONTPELLIER SUD DE FRANCE,18,0.12236286919831224
AGDE,MONTPELLIER SUD DE FRANCE,19,0.120042194092827
AGDE,MONTPELLIER SUD DE FRANCE,20,0.12309322033898305
AGDE,MONTPELLIER SUD DE FRANCE,21,0.11936170212765958
AGDE,MONTPELLIER SUD DE FRANCE,22,0.1151063829787234
AGDE,MONTPELLIER SUD DE FRANCE,23,0.11617021276595745
AGDE,MONTPELLIER SUD DE FRANCE,24,0.11282051282051281
AGDE,MONTPELLIER SUD DE FRANCE,25,0.10854700854700854
AGDE,MONTPELLIER SUD DE FRANCE,26,0.12081545064377681
AGDE,MONTPELLIER SUD DE FRANCE,27,0.11487068965517241
AGDE,MONTPELLIER SUD DE FRANCE,28,0.11818181818181818
AGDE,MONTPELLIER SUD DE FRANCE,29,0.10822510822510822
AGDE,MONTPELLIER SUD DE FRANCE,30,0.024675324675324677
AGDE,NIMES CENTRE,0,0.8873015873015873
AGDE,NIMES CENTRE,1,0.8696428571428572
AGDE,NIMES CENTRE,2,0.8670634920634921
AGDE,NIMES CENTRE,3,0.8617063492063493
AGDE,NIMES CENTRE,4,0.7071428571428571
AGDE,NIMES CENTRE,5,0.6833333333333332
AGDE,NIMES CENTRE,6,0.6601190476190476
AGDE,NIMES CENTRE,7,0.6065737051792829
AGDE,NIMES CENTRE,8,0.6008
AGDE,NIMES CENTRE,9,0.5813253012048193
AGDE,NIMES CENTRE,10,0.5618951612903226
AGDE,NIMES CENTRE,11,0.5473790322580645
AGDE,NIMES CENTRE,12,0.26975806451612905
AGDE,NIMES CENTRE,13,0.2548582995951417
AGDE,NIMES CENTRE,14,0.23495934959349593
AGDE,NIMES CENTRE,15,0.23
AGDE,NIMES CENTRE,16,0.22877551020408163
AGDE,NIMES CENTRE,17,0.22950819672131148
AGDE,NIMES CENTRE,18,0.22295081967213115
AGDE,NIMES CENTRE,19,0.20041152263374487
AGDE,NIMES CENTRE,20,0.20330578512396696
AGDE,NIMES CENTRE,21,0.20206611570247934
AGDE,NIMES CENTRE,22,0.19730290456431535
AGDE,NIMES CENTRE,23,0.19149377593360994
AGDE,NIMES CENTRE,24,0.18604166666666666
AGDE,NIMES CENTRE,25,0.18284518828451884
AGDE,NIMES CENTRE,26,0.178781512605042
AGDE,NIMES CENTRE,27,0.17394957983193277
AGDE,NIMES CENTRE,28,0.15777310924369747
AGDE,NIMES CENTRE,29,0.14008438818565402
AGDE,NIMES CENTRE,30,0.024472573839662448
AGDE,NIMES PONT DU GARD,0,0.8686192468619247
AGDE,NIMES PONT DU GARD,1,0.8339583333333334
AGDE,NIMES PONT DU GARD,2,0.8103734439834025
AGDE,NIMES PONT DU GARD,3,0.8132780082987552
AGDE,NIMES PONT DU GARD,4,0.5336099585062241
AGDE,NIMES PONT DU GARD,5,0.5
AGDE,NIMES PONT DU GARD,6,0.44834024896265556
AGDE,NIMES PONT DU GARD,7,0.42178423236514523
AGDE,NIMES PONT DU GARD,8,0.42780082987551865
AGDE,NIMES PONT DU GARD,9,0.41859504132231407
AGDE,NIMES PONT DU GARD,10,0.39958677685950417
AGDE,NIMES PONT DU GARD,11,0.3971074380165289
AGDE,NIMES PONT DU GARD,12,0.1350622406639004
AGDE,NIMES PONT DU GARD,13,0.13
AGDE,NIMES PONT DU GARD,14,0.13179916317991633
AGDE,NIMES PONT DU GARD,15,0.1319327731092437
AGDE,NIMES PONT DU GARD,16,0.13592436974789918
AGDE,NIMES PONT DU GARD,17,0.12983193277310923
AGDE,NIMES PONT DU GARD,18,0.12215189873417721
AGDE,NIMES PONT DU GARD,19,0.11856540084388187
AGDE,NIMES PONT DU GARD,20,0.12457627118644067
AGDE,NIMES PONT DU GARD,21,0.11893617021276595
AGDE,NIMES PONT DU GARD,22,0.11553191489361701
AGDE,NIMES PONT DU GARD,23,0.11638297872340427
AGDE,NIMES PONT DU GARD,24,0.11153846153846154
AGDE,NIMES PONT DU GARD,25,0.10961538461538461
AGDE,NIMES PONT DU GARD,26,0.11888412017167381
AGDE,NIMES PONT DU GARD,27,0.11443965517241379
AGDE,NIMES PONT DU GARD,28,0.12056277056277057
AGDE,NIMES PONT DU GARD,29,0.11125541125541125
AGDE,NIMES PONT DU GARD,30,0.021645021645021644
AGDE,PARIS (intramuros),0,0.40868055555555555
AGDE,PARIS (intramuros),1,0.39965277777777775
AGDE,PARIS (intramuros),2,0.41284722222222225
AGDE,PARIS (intramuros),3,0.415625
AGDE,PARIS (intramuros),4,0.18385416666666668
AGDE,PARIS (intramuros),5,0.1840277777777778
AGDE,PARIS (intramuros),6,0.18055555555555555
AGDE,PARIS (intramuros),7,0.16666666666666666
AGDE,PARIS (intramuros),8,0.1886759581881533
AGDE,PARIS (intramuros),9,0.2010452961672474
AGDE,PARIS (intramuros),10,0.21188811188811188
AGDE,PARIS (intramuros),11,0.22937062937062935
AGDE,PARIS (intramuros),12,0.10926573426573427
AGDE,PARIS (intramuros),13,0.10263157894736842
AGDE,PARIS (intramuros),14,0.0977112676056338
AGDE,PARIS (intramuros),15,0.09452296819787986
AGDE,PARIS (intramuros),16,0.09929328621908128
AGDE,PARIS (intramuros),17,0.09946808510638298
AGDE,PARIS (intramuros),18,0.09858156028368795
AGDE,PARIS (intramuros),19,0.09929078014184398
AGDE,PARIS (intramuros),20,0.10587188612099645
AGDE,PARIS (intramuros),21,0.10625
AGDE,PARIS (intramuros),22,0.1089605734767025
AGDE,PARIS (intramuros),23,0.11182795698924732
AGDE,PARIS (intramuros),24,0.10541516245487365
AGDE,PARIS (intramuros),25,0.1052536231884058
AGDE,PARIS (intramuros),26,0.12236363636363635
AGDE,PARIS (intramuros),27,0.11733576642335766
AGDE,PARIS (intramuros),28,0.11391941391941393
AGDE,PARIS (intramuros),29,0.09485294117647058
AGDE,PARIS (intramuros),30,0.022610294117647062
AGDE,SETE,0,0.9364583333333333
AGDE,SETE,1,0.9100694444444445
AGDE,SETE,2,0.9026041666666667
AGDE,SETE,3,0.9128472222222221
AGDE,SETE,4,0.7869791666666667
AGDE,SETE,5,0.7626736111111111
AGDE,SETE,6,0.7338541666666667
AGDE,SETE,7,0.6871527777777778
AGDE,SETE,8,0.6717770034843206
AGDE,SETE,9,0.6486062717770035
AGDE,SETE,10,0.6113636363636363
AGDE,SETE,11,0.6082167832167832
AGDE,SETE,12,0.29160839160839164
AGDE,SETE,13,0.2833333333333333
AGDE,SETE,14,0.271830985915493
AGDE,SETE,15,0.26696113074204947
AGDE,SETE,16,0.26607773851590105
AGDE,SETE,17,0.2593971631205674
AGDE,SETE,18,0.249822695035461
AGDE,SETE,19,0.23439716312056735
AGDE,SETE,20,0.2318505338078292
AGDE,SETE,21,0.22964285714285712
AGDE,SETE,22,0.22365591397849463
AGDE,SETE,23,0.22114695340501794
AGDE,SETE,24,0.21732851985559568
AGDE,SETE,25,0.21213768115942028
AGDE,SETE,26,0.21527272727272728
AGDE,SETE,27,0.20492700729927008
AGDE,SETE,28,0.19340659340659339
AGDE,SETE,29,0.17500000000000002
AGDE,SETE,30,0.028860294117647057
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,0,0.6107394366197183
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,1,0.6110915492957747
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,2,0.611443661971831
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,3,0.6126760563380281
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,4,0.3315140845070423
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,5,0.3230633802816901
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,6,0.29894366197183103
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,7,0.2855633802816901
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,8,0.30653710247349825
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,9,0.30759717314487633
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,10,0.31063829787234043
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,11,0.3102836879432624
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,12,0.12943262411347517
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,13,0.1320284697508897
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,14,0.13214285714285715
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,15,0.12813620071684587
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,16,0.1324372759856631
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,17,0.12697841726618703
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,18,0.1251798561151079
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,19,0.12446043165467627
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,20,0.12851985559566786
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,21,0.13043478260869565
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,22,0.13090909090909092
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,23,0.13363636363636364
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,24,0.12802197802197804
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,25,0.12426470588235293
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,26,0.13302583025830259
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,27,0.13148148148148148
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,28,0.12267657992565056
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,29,0.11138059701492538
AGDE,VALENCE TGV AUVERGNE RHONE ALPES,30,0.021828358208955224
AGDE,VALENCE VILLE,0,0.037500000000000006
AGDE,VALENCE VILLE,1,0.025
AGDE,VALENCE VILLE,2,0.0
AGDE,VALENCE VILLE,3,0.05
AGDE,VALENCE VILLE,4,0.025
AGDE,VALENCE VILLE,5,0.025
AGDE,VALENCE VILLE,6,0.0
AGDE,VALENCE VILLE,7,0.0125
AGDE,VALENCE VILLE,8,0.0
AGDE,VALENCE VILLE,9,0.0
AGDE,VALENCE VILLE,10,0.0
AGDE,VALENCE VILLE,11,0.0
AGDE,VALENCE VILLE,12,0.0
AGDE,VALENCE VILLE,13,0.0
AGDE,VALENCE VILLE,14,0.0
AGDE,VALENCE VILLE,15,0.0
AGDE,VALENCE VILLE,16,0.0
AGDE,VALENCE VILLE,17,0.0
AGDE,VALENCE VILLE,18,0.0
AGDE,VALENCE VILLE,19,0.0
AGDE,VALENCE VILLE,20,0.0125
AGDE,VALENCE VILLE,21,0.0
AGDE,VALENCE VILLE,22,0.0
AGDE,VALENCE VILLE,23,0.0
AGDE,VALENCE VILLE,24,0.0
AGDE,VALENCE VILLE,25,0.0
AGDE,VALENCE VILLE,26,0.0
AGDE,VALENCE VILLE,27,0.0
AGDE,VALENCE VILLE,28,0.0
AGDE,VALENCE VILLE,29,0.0
AGDE,VALENCE VILLE,30,0.0
BEZIERS,AGDE,0,0.940451388888889
BEZIERS,AGDE,1,0.9088541666666666
BEZIERS,AGDE,2,0.9050347222222221
BEZIERS,AGDE,3,0.9140625
BEZIERS,AGDE,4,0.7954861111111111
BEZIERS,AGDE,5,0.7696180555555556
BEZIERS,AGDE,6,0.7371527777777778
BEZIERS,AGDE,7,0.6810763888888889
BEZIERS,AGDE,8,0.670383275261324
BEZIERS,AGDE,9,0.6501742160278745
BEZIERS,AGDE,10,0.6115384615384616
BEZIERS,AGDE,11,0.6111888111888112
BEZIERS,AGDE,12,0.2893356643356643
BEZIERS,AGDE,13,0.2856140350877193
BEZIERS,AGDE,14,0.27411971830985915
BEZIERS,AGDE,15,0.26554770318021204
BEZIERS,AGDE,16,0.2687279151943463
BEZIERS,AGDE,17,0.26028368794326245
BEZIERS,AGDE,18,0.25
BEZIERS,AGDE,19,0.23049645390070922
BEZIERS,AGDE,20,0.2336298932384342
BEZIERS,AGDE,21,0.2282142857142857
BEZIERS,AGDE,22,0.22293906810035843
BEZIERS,AGDE,23,0.22114695340501794
BEZIERS,AGDE,24,0.21913357400722022
BEZIERS,AGDE,25,0.2128623188405797
BEZIERS,AGDE,26,0.21963636363636363
BEZIERS,AGDE,27,0.20583941605839415
BEZIERS,AGDE,28,0.19487179487179487
BEZIERS,AGDE,29,0.1698529411764706
BEZIERS,AGDE,30,0.03455882352941177
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,0,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,1,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,2,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,3,0.0125
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,4,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,5,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,6,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,7,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,8,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,9,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,10,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,11,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,12,0.0
BEZIERS,LE CREUSOT MONTCEAU MONTCHANIN,13,0.0
