origine,destination,first_open_delta_median,first_open_delta_p25,first_open_delta_p75,n_departure_dates
ARLES,AVIGNON CENTRE,29,16,29,312
ARLES,LYON (intramuros),3,3,3,1
ARLES,LYON ST EXUPERY TGV.,29,11,29,243
ARLES,MARNE LA VALLEE CHESSY,29,29,29,1
ARLES,MONTELIMAR GARE SNCF,29,16,29,312
ARLES,ORANGE,29,16,29,312
ARLES,PARIS (intramuros),29,11,29,239
ARLES,VALENCE VILLE,29,16,29,312
AVIGNON CENTRE,LYON (intramuros),3,3,3,1
AVIGNON CENTRE,LYON ST EXUPERY TGV.,29,11,29,261
AVIGNON CENTRE,MARNE LA VALLEE CHESSY,29,29,29,1
AVIGNON CENTRE,MONTELIMAR GARE SNCF,29,19,29,318
AVIGNON CENTRE,ORANGE,29,19,29,318
AVIGNON CENTRE,PARIS (intramuros),29,11,29,253
AVIGNON CENTRE,VALENCE VILLE,29,19,29,318
LYON ST EXUPERY TGV.,PARIS (intramuros),1,0,2,36
MIRAMAS,ARLES,29,16,29,312
MIRAMAS,AVIGNON CENTRE,29,16,29,312
MIRAMAS,LYON (intramuros),3,3,3,1
MIRAMAS,LYON ST EXUPERY TGV.,29,11,29,243
MIRAMAS,MARNE LA VALLEE CHESSY,29,29,29,1
MIRAMAS,MONTELIMAR GARE SNCF,29,16,29,312
MIRAMAS,ORANGE,29,16,29,312
MIRAMAS,PARIS (intramuros),29,11,29,239
MIRAMAS,VALENCE VILLE,29,16,29,312
MONTELIMAR GARE SNCF,LYON (intramuros),3,3,3,1
MONTELIMAR GARE SNCF,LYON ST EXUPERY TGV.,29,11,29,261
MONTELIMAR GARE SNCF,MARNE LA VALLEE CHESSY,29,29,29,1
MONTELIMAR GARE SNCF,PARIS (intramuros),29,11,29,253
MONTELIMAR GARE SNCF,VALENCE VILLE,29,19,29,318
ORANGE,LYON (intramuros),3,3,3,1
ORANGE,LYON ST EXUPERY TGV.,29,11,29,261
ORANGE,MONTELIMAR GARE SNCF,29,19,29,318
ORANGE,PARIS (intramuros),29,11,29,253
ORANGE,VALENCE VILLE,29,19,29,318
VALENCE VILLE,LYON (intramuros),3,3,3,1
VALENCE VILLE,LYON ST EXUPERY TGV.,29,11,29,261
VALENCE VILLE,MARNE LA VALLEE CHESSY,29,29,29,1
VALENCE VILLE,PARIS (intramuros),29,11,29,253
